Date,Symbol,Trader,Channel,isOpen,Asset,Type,Price,Amount,Price-current,Prices,Prices-current,Avged,STC-Amount,STC-Price,STC-Price-current,STC-Prices,STC-Prices-current,STC-PnL,STC-PnL-current,STC-PnL$,STC-PnL$-current,STC-Date,SL,TrailStats,STC-xQty
2023-06-12 12:05:25.991000,SPXW_061223C4320,enhancedmarket,analyst-alerts,0,option,BTO,2.4,5,2.6,,,,5.0,4.12,3.82,3.3/7.4,3.1/6.7,71.6666666666667,46.9230769230769,860.0,610.0,2023-06-12 14:52:23.835000,,"| min,-28.85%,$1.85,in 01:31:11| max,184.62%,$7.4,in 02:46:38| | TS:0.2,-17.31%,$2.15,in 00:12:49| TS:0.3,3.85%,$2.7,in 00:43:40| TS:0.4,-1.92%,$2.55,in 01:02:40| TS:0.5,-11.54%,$2.3,in 01:23:41",
2023-06-12 12:14:06.008000,PYPL_072123C72.5,ghost878.,analyst-alerts,1,option,BTO,0.46,4,0.5,,,,3.0,0.936666666666667,0.88,0.58/1.0/1.23,0.57/1.0/1.07,103.623188405797,76.0,143.0,114.0,2023-06-20 09:45:47.364000,,"| min,-4.0%,$0.48,in 2 days 21:17:44| max,162.0%,$1.31,in 7 days 21:25:35| | TS:0.2,8.0%,$0.54,in 23:32:39| TS:0.3,18.0%,$0.59,in 1 days 22:11:14| TS:0.4,8.0%,$0.54,in 2 days 01:53:43| TS:0.5,-2.0%,$0.49,in 2 days 21:17:19",
2023-06-12 13:28:48.627000,CHGG_072123C12.5,AVI#9896,analyst-alerts,1,option,BTO,0.25,5,0.25,,,,,,,,,,,,,,,,
2023-06-12 13:41:05.905000,SPY_061223C432,cedar9754,analyst-alerts,0,option,BTO,0.17,30,0.2,0.17/0.17,0.18/0.2,1.0,30.0,0.3,0.29,0.3,0.29,76.4705882352941,45.0,390.0,270.0,2023-06-12 14:00:44.909000,,"| min,-10.0%,$0.18,in 00:00:11| max,60.0%,$0.32,in 00:17:37| | TS:0.2,20.0%,$0.24,in 00:09:11",
2023-06-12 13:45:41.025000,QQQ_061323C362,dcruz,analyst-alerts,0,option,BTO,0.64,10,0.7,,,,10.0,0.909,,0.81/0.94/1.11/1.11,,42.03125,,269.0,,2023-06-12 14:59:28.901000,,"| min,-1.43%,$0.69,in 00:00:16| max,88.57%,$1.32,in 01:25:53| | ",
2023-06-12 11:08:12.416000,SPXW_061223C4320,cblast,cb_challenge,0,option,BTO,2.0,2,,,,,2.0,2.15,,2.15,,7.5,,30.0,,2023-06-12 11:55:04.762000,,"| min,-15.0%,$1.7,in 00:17:22| max,50.0%,$3.0,in 00:35:47| | TS:0.2,-12.5%,$1.75,in 00:07:36| TS:0.3,20.0%,$2.4,in 00:40:02| TS:0.4,10.0%,$2.2,in 00:45:28",
2023-06-12 13:25:26.367000,SPXW_061823P4310,cblast,cb_challenge,0,option,BTO,1.85,1,,,,,1.0,1.3,,1.3,,-29.7297297297297,,-55.0,,2023-06-12 13:46:21.736000,,,
2023-06-12 14:29:18.796000,SPXW_061223P4310,cblast,cb_challenge,0,option,BTO,0.65,1,0.75,,,,1.0,0.55,0.45,0.55,0.45,-15.3846153846154,-40.0,-10.0,-30.0,2023-06-12 14:35:55.160000,,,
2023-06-13 04:08:10.832000,YS,oogwayta,analyst-alerts,0,stock,BTO,1.96,300,,,,,300.0,2.08,,2.13/1.98,,6.12244897959184,,36.0,,2023-06-13 04:13:05.458000,,,
2023-06-13 09:30:47.995000,FWBI,oogwayta,analyst-alerts,0,stock,BTO,2.78,150,,,,,150.0,2.86666666666667,,2.91/2.78,,3.11750599520385,,13.0,,2023-06-13 09:49:48.635000,,"| min,-2.16%,$2.72,in 00:18:15| max,0.0%,$2.78,in 00:17:45| | ",
